key,en-US,es-ES,fr-FR
******************HOME******************,,,
home.enterLocation,Enter Location Address to get Started,,
home.inputPlaceholder,Home Address,,
home.startQuoteButton,Start Quote,,
******************LOCATION******************,,,
location.bottomText,Verify your house by moving the marker to the correct location.,,
location.continueButton,Continue,,
******************ADJUST******************,,,
adjustBillAmount.text,Slide to enter you most recient electric bill amount,,
adjustBillAmount.buttonBack,Back,,
adjustBillAmount.buttonNext,Next,,
adjustShading.question,How shaded is your house?,,
adjustShading.buttonUnshaded,Unshaded,,
adjustShading.buttonPartlyShady,Partly Shady,,
adjustShading.buttonShaded,Shaded,,
adjustShading.buttonBack,Back,,
adjustShading.buttonNext,Next,,
adjustSolar.solarSliderText,Slide to add solar panels and compare,,
adjustSolar.circleSavings,Savings Per Year,,
adjustSolar.circleCO2,CO2 Reduction,,
adjustSolar.circleKwh,KW Hours / Year,,
adjustSolar.buttonText,Complete Quote,,
******************CALCULATION******************,,,
calculation.calculatingSolarOutput,Calculating Solar Output,,
calculation.calculatingSolarPanelCost,Calculating Solar Panel Cost,,
calculation.calculatingMonthlyBill,Calculating New Montly Bill,,
calculation.solarOutput,Solar Output,,
calculation.panelCosts,Panel Costs,,
calculation.monthlyBill,Montly Bill,,
calculation.calculated,Calculated,,
calculation.calculatingText,Please wait while we calculate your quote...,,
calculation.finishedText,We've calculated important information regarding your solar quote. Unlock pricing to get best solar deals for you home!,,
calculation.unlockButton,Unlock Pricing?,,
******************QUOTE******************,,,
login.inputPlaceholderFullName,Full Name,,
login.inputPlaceholderPhone,Phone Number,,
login.inputPlaceholderEmail,Email,,
login.inputPlaceholderZip,Zip,,
login.buttonGetQuote,Get My Free Quote,,
******************QUOTE******************,,,
